Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
00:00,17.55,17.82,18.12,16.32,18.04,18.99,17.25
01:00,19.28,18.73,16.73,18.83,17.54,19.1,16.23
02:00,18.74,16.97,19.53,18.66,16.39,17.36,18.33
03:00,18.85,18.57,19.44,19.29,17.22,17.22,18.53
04:00,18.26,19.71,20.87,20.31,17.84,18.5,17.91
05:00,19.41,19.04,21.87,19.14,21.01,20.31,19.82
06:00,20.42,22.25,22.22,21.42,21.28,22.96,23.26
07:00,24.55,22.24,24.74,22.05,23.36,24.54,22.47
08:00,25.11,23.32,23.4,25.98,26.13,23.13,23.59
09:00,26.8,27.61,25.1,26.52,25.28,26.15,26.08
10:00,25.66,28.81,25.75,26.7,26.96,26.99,28.88
11:00,29.71,29.17,27.56,26.69,29.0,27.22,27.28
12:00,29.81,28.05,28.33,28.07,27.8,27.43,29.27
13:00,27.93,27.55,28.13,28.31,27.48,28.35,29.76
14:00,27.64,29.31,29.8,29.46,28.0,30.18,27.83
15:00,27.09,27.95,27.67,28.6,27.02,27.56,28.91
16:00,26.61,26.0,26.53,28.55,28.69,27.32,26.82
17:00,26.19,26.1,26.25,26.02,27.14,26.79,26.55
18:00,24.54,23.22,23.57,23.5,25.22,24.32,25.22
19:00,22.64,24.7,24.34,24.04,24.57,24.91,23.45
20:00,22.27,21.09,20.48,22.76,22.91,23.44,20.53
21:00,19.35,21.1,22.18,20.76,19.51,19.73,21.67
22:00,18.71,18.78,20.31,20.31,20.71,19.4,18.81
23:00,18.08,18.59,17.52,18.5,18.65,17.86,17.48
